ID,p_a,p_b,delta,abs_delta,pred_a,pred_b,crossed,conf_a,conf_b,conf_delta,zone_a,zone_b
9327424f-7efb-4780-a768-81b22487e01b_1,0.4170820827274647,0.6172194032690027,0.200137320541538,0.200137320541538,0,1,1,0.08291791727253528,0.11721940326900271,0.03430148599646743,0.4-0.6,0.6-0.8
8702350d-214c-40a7-9a6b-3c07e35ac00e_1,0.5876545521125035,0.7633373238970884,0.1756827717845849,0.1756827717845849,1,1,0,0.0876545521125035,0.2633373238970884,0.1756827717845849,0.4-0.6,0.6-0.8
13c0a52a-ef31-4353-8af5-00b5b0ce57ad_0,0.4640652988396684,0.2950497827286202,-0.1690155161110482,0.1690155161110482,0,0,0,0.035934701160331595,0.2049502172713798,0.1690155161110482,0.4-0.6,0.2-0.4
359e808e-d46c-43cf-a8db-eb2dc6b980f4_0,0.3784990349848922,0.2133616052802822,-0.16513742970460998,0.16513742970460998,0,0,0,0.12150096501510782,0.2866383947197178,0.16513742970460998,0.2-0.4,0.2-0.4
ab01b59f-07c8-4d5e-8978-037a6ac23c7f_0,0.6969888019697547,0.8512751040852977,0.15428630211554306,0.15428630211554306,1,1,0,0.19698880196975466,0.3512751040852977,0.15428630211554306,0.6-0.8,>0.8
99a8d155-2d95-4860-97e5-6d5d566750d9_0,0.5995394216013962,0.7506757228915242,0.151136301290128,0.151136301290128,1,1,0,0.09953942160139617,0.2506757228915242,0.151136301290128,0.4-0.6,0.6-0.8
695425eb-86d7-4174-bf78-8d7966de5d00_0,0.3275498058829944,0.1814179967421247,-0.14613180914086973,0.14613180914086973,0,0,0,0.17245019411700557,0.31858200325787533,0.14613180914086976,0.2-0.4,<0.2
962c93fc-f0e6-4eda-a857-97484783dcf5_0,0.693256913227061,0.8369703759087215,0.14371346268166052,0.14371346268166052,1,1,0,0.19325691322706096,0.3369703759087215,0.14371346268166052,0.6-0.8,>0.8
6853a497-caf0-403b-a8c5-a5e8213dcde3_1,0.7083992868836745,0.847366737387479,0.13896745050380455,0.13896745050380455,1,1,0,0.20839928688367448,0.34736673738747903,0.13896745050380455,0.6-0.8,>0.8
dbd30b6f-6f91-4ca4-b998-5efb8e5bf1f7_0,0.3979774783951188,0.5194923681534647,0.12151488975834585,0.12151488975834585,0,1,1,0.10202252160488118,0.019492368153464668,-0.08253015345141651,0.2-0.4,0.4-0.6
ed4ffb8f-76a6-40a9-a51d-98011c49e5a7_1,0.6360738666744024,0.7546238050836819,0.11854993840927952,0.11854993840927952,1,1,0,0.13607386667440236,0.2546238050836819,0.11854993840927952,0.6-0.8,0.6-0.8
654092be-eae8-4e39-bffc-1c4a6b8c5faf_0,0.7326707245000934,0.8497532125213636,0.11708248802127019,0.11708248802127019,1,1,0,0.2326707245000934,0.3497532125213636,0.11708248802127019,0.6-0.8,>0.8
8d4544bf-dfd1-4b71-87b3-c4cfab163c48_1,0.7061353695973158,0.8182850426648772,0.1121496730675614,0.1121496730675614,1,1,0,0.20613536959731582,0.3182850426648772,0.1121496730675614,0.6-0.8,>0.8
9327424f-7efb-4780-a768-81b22487e01b_0,0.3368391300138025,0.2285829011520104,-0.10825622886179209,0.10825622886179209,0,0,0,0.1631608699861975,0.2714170988479896,0.10825622886179209,0.2-0.4,0.2-0.4
64a38a90-97ed-4b1b-88bb-020e4ecacf9e_1,0.7655094666868035,0.8720234239321859,0.10651395724538237,0.10651395724538237,1,1,0,0.26550946668680353,0.3720234239321859,0.10651395724538237,0.6-0.8,>0.8
f7b6c13a-757d-491f-8441-b6a58cb535d1_1,0.7238837293068816,0.8276987240682363,0.1038149947613547,0.1038149947613547,1,1,0,0.2238837293068816,0.3276987240682363,0.1038149947613547,0.6-0.8,>0.8
bd3219ea-f82c-425d-ac2d-51cc36c044c4_0,0.6154686458529895,0.7190998639055265,0.10363121805253694,0.10363121805253694,1,1,0,0.11546864585298955,0.2190998639055265,0.10363121805253694,0.6-0.8,0.6-0.8
f46ac17e-8d05-4f65-88fd-8c32af7d59db_1,0.7907914759363496,0.893336851420374,0.10254537548402443,0.10254537548402443,1,1,0,0.2907914759363496,0.393336851420374,0.10254537548402443,0.6-0.8,>0.8
8d4b195e-03c9-465b-8e61-cee34c48b82a_0,0.7889027336077069,0.8913384745855221,0.10243574097781516,0.10243574097781516,1,1,0,0.2889027336077069,0.39133847458552207,0.10243574097781516,0.6-0.8,>0.8
a9511ad2-3217-45ce-b6c6-4f1a15dad0cf_0,0.7473601404043544,0.8490916440082333,0.10173150360387895,0.10173150360387895,1,1,0,0.2473601404043544,0.34909164400823334,0.10173150360387895,0.6-0.8,>0.8
6c7f8067-4369-401e-9378-4d2b1506acaf_1,0.6412535185352733,0.7414727878022392,0.1002192692669659,0.1002192692669659,1,1,0,0.14125351853527335,0.24147278780223924,0.1002192692669659,0.6-0.8,0.6-0.8
42cdb2eb-7170-45a7-854a-a8513dccd60a_1,0.4700189958795449,0.3707963113912385,-0.0992226844883064,0.0992226844883064,0,0,0,0.029981004120455124,0.12920368860876152,0.0992226844883064,0.4-0.6,0.2-0.4
4c6a2a4b-95ec-46d3-ad18-fa2b8e1e5279_0,0.8070185586624447,0.9057858496664952,0.09876729100405057,0.09876729100405057,1,1,0,0.30701855866244465,0.4057858496664952,0.09876729100405057,>0.8,>0.8
c7732e5b-2408-466c-b5f0-b2807f179505_1,0.2793804586369647,0.1826909335490211,-0.0966895250879436,0.0966895250879436,0,0,0,0.2206195413630353,0.3173090664509789,0.0966895250879436,0.2-0.4,<0.2
48cd526e-46cd-4749-bff7-397f061adb61_0,0.8058122914769467,0.9023278683602718,0.09651557688332513,0.09651557688332513,1,1,0,0.30581229147694666,0.4023278683602718,0.09651557688332513,>0.8,>0.8
0adc445b-26ff-4c8e-a4eb-ed16516adb9c_0,0.6793398198487427,0.7736437719203119,0.09430395207156916,0.09430395207156916,1,1,0,0.1793398198487427,0.27364377192031186,0.09430395207156916,0.6-0.8,0.6-0.8
4381e7ba-336d-4457-8050-6e58d03c567f_0,0.773794561322549,0.8671555338561462,0.09336097253359721,0.09336097253359721,1,1,0,0.273794561322549,0.3671555338561462,0.09336097253359721,0.6-0.8,>0.8
f0dd922d-254e-410b-b42b-47fb6358c4aa_0,0.396585680191276,0.3032947657411099,-0.09329091445016607,0.09329091445016607,0,0,0,0.10341431980872401,0.19670523425889008,0.09329091445016607,0.2-0.4,0.2-0.4
1dfe1d64-4156-4420-b105-84729b09053f_1,0.6958655419311717,0.7885831021220917,0.09271756019092003,0.09271756019092003,1,1,0,0.19586554193117167,0.2885831021220917,0.09271756019092003,0.6-0.8,0.6-0.8
a06d2197-0cd1-42f5-81d2-7a209e71d8e9_1,0.2344210147964907,0.1427140372655733,-0.09170697753091739,0.09170697753091739,0,0,0,0.2655789852035093,0.3572859627344267,0.09170697753091739,0.2-0.4,<0.2
